study	individual	group	count	intervention	measurement_type	substance	tissue	method	label	time	time_unit	mean	sd	se	unit	comments
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_hepatic	4.0	hr	20.1	13.2778010227598	NA	percent	12,13A,13B,14,15
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_hepatic	8.0	hr	29.0	15.2315462117278	NA	percent	12,13A,13B,14,15
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	recovery	C14-hydrochlorothiazide	urine	scintillation counting	recovery_HCTZiv_hepatic	24.0	hr	56.0	9.9247166206396	NA	percent	12,13A,13B,14,15
Anderson1961	NA	control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	4.0	hr	10.5	7.62670745909835	NA	mg	1,3,4,5
Anderson1961	NA	control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	8.0	hr	19.75	7.0296989029877	NA	mg	1,3,4,5
Anderson1961	NA	control	4.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_control	24.0	hr	31.625	1.10867789130418	NA	mg	1,3,4,5
Anderson1961	NA	control	1.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_control	4.0	hr	37.5	NA	NA	mg	2
Anderson1961	NA	control	1.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_control	8.0	hr	42.0	NA	NA	mg	2
Anderson1961	NA	control	1.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_control	24.0	hr	50.0	NA	NA	mg	2
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_cardiac	4.0	hr	4.41666666666667	5.2816506258303	NA	mg	6,7.8
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_cardiac	8.0	hr	11.8333333333334	6.71441235949455	NA	mg	6,7.8
Anderson1961	NA	cardiac impairment	3.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_cardiac	24.0	hr	21.1666666666667	7.9109628575372	NA	mg	6,7.8
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	4.0	hr	21.0	5.6568542494924	NA	mg	8A,8B
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	8.0	hr	30.25	10.9601551083915	NA	mg	8A,8B
Anderson1961	NA	cardiac impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_cardiac	24.0	hr	41.25	12.3743686707646	NA	mg	8A,8B
Anderson1961	NA	renal impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_renal	4.0	hr	0.5	NA	NA	mg	9
Anderson1961	NA	renal impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_renal	8.0	hr	2.0	NA	NA	mg	9
Anderson1961	NA	renal impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_renal	24.0	hr	4.5	NA	NA	mg	9
Anderson1961	NA	renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	4.0	hr	11.5	11.3137084989848	NA	mg	10, 11
Anderson1961	NA	renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	8.0	hr	20.5	21.2132034355965	NA	mg	10, 11
Anderson1961	NA	renal impairment	2.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_renal	24.0	hr	28.0	21.920310216783	NA	mg	10, 11
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	4.0	hr	2.5	NA	NA	mg	12
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	8.0	hr	13.5	NA	NA	mg	12
Anderson1961	NA	hepatic impairment	1.0	HCTZpo	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZpo_hepatic	24.0	hr	22.0	NA	NA	mg	12
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	4.0	hr	10.05	6.6389005113799	NA	mg	12,13A,13B,14,15
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	8.0	hr	14.5	7.6157731058639	NA	mg	12,13A,13B,14,15
Anderson1961	NA	hepatic impairment	5.0	HCTZiv	cumulative amount	C14-hydrochlorothiazide	urine	scintillation counting	amount_HCTZiv_hepatic	24.0	hr	28.0	4.9623583103198	NA	mg	12,13A,13B,14,15
