study	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	mean	sd	se	median	min	max	unit	comments
Vaidyanathan2006	hctz	22.0	HCTZ25	oral-clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	187.0	43.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	2.0	1.0	3.4	hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	auc measurement	hydrochlorothiazide	plasma	HPLC	NA	NA	1273.0	297.0	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	cmin	hydrochlorothiazide	plasma	HPLC	NA	NA	20.0	7.1	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	hctz	22.0	ALI300H,HCTZ25	oral-clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	ramipril	20.0	RAM2.5,RAM5,RAM10	cmax	ramipril	plasma	HPLC	NA	NA	23.9	9.9	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	ramipril	20.0	RAM2.5,RAM5,RAM10	tmax	ramipril	plasma	HPLC	NA	NA	NA	NA	NA	0.5	0.5	1.0	hr	NA
Vaidyanathan2006	ramipril	20.0	RAM2.5,RAM5,RAM10	auc measurement	ramipril	plasma	HPLC	NA	NA	21.2	9.7	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	ramipril	20.0	RAM2.5,RAM5,RAM10	cmin	ramipril	plasma	HPLC	NA	NA	0.0	0.0	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	ramipril	20.0	RAM2.5,RAM5,RAM10	oral-clearance	ramipril	plasma	HPLC	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R,RAM2.5,RAM5,RAM10	cmax	ramipril	plasma	HPLC	NA	NA	22.6	9.7	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	ramipril	17.0	ALI300R,RAM2.5,RAM5,RAM10	tmax	ramipril	plasma	HPLC	NA	NA	NA	NA	NA	0.5	0.5	1.5	hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R,RAM2.5,RAM5,RAM10	auc measurement	ramipril	plasma	HPLC	NA	NA	25.8	9.6	NA	NA	NA	NA	ng/ml*hr	NA
Vaidyanathan2006	ramipril	17.0	ALI300R,RAM2.5,RAM5,RAM10	cmin	ramipril	plasma	HPLC	NA	NA	0.01	0.03	NA	NA	NA	NA	ng/ml	NA
Vaidyanathan2006	ramipril	17.0	ALI300R,RAM2.5,RAM5,RAM10	oral-clearance	ramipril	plasma	HPLC	NA	NA	NA	NA	NA	NA	NA	NA	ml/hr	NA
