study	individual	group	count	intervention	measurement_type	substance	tissue	method	time	time_unit	value	mean	sd	se	unit	comments
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	tmax	captopril	plasma	HPLC	NA	NA	NA	1.18	0.36769552621700474	0.13	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	thalf	captopril	plasma	HPLC	NA	NA	NA	0.79	0.28284271247461906	0.1	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	auc_inf	captopril	plasma	HPLC	NA	NA	NA	1067.0	995.606347910659	352.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	oral clearance	captopril	plasma	HPLC	NA	NA	NA	1077.0	404.4650788387052	143.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	vd	captopril	plasma	HPLC	NA	NA	NA	1.0	0.36769552621700474	0.13	l/kg	Vd/F
Giudicelli1987	NA	captopril_mono	7.0	CAP50	cmax	total captopril	plasma	HPLC	NA	NA	NA	940.0	423.3202097703345	160.0	ng/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	tmax	total captopril	plasma	HPLC	NA	NA	NA	1.28	0.846640419540669	0.32	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	thalf	total captopril	plasma	HPLC	NA	NA	NA	7.77	6.058770502337913	2.29	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	auc_inf	total captopril	plasma	HPLC	NA	NA	NA	4526.0	1603.325294505142	606.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_mono	7.0	CAP50	oral clearance	total captopril	plasma	HPLC	NA	NA	NA	209.0	84.6640419540669	32.0	ml/min	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50	vd	total captopril	plasma	HPLC	NA	NA	NA	2.11	1.693280839081338	0.64	l/kg	Vd/F
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	cmax	total captopril	plasma	HPLC	NA	NA	NA	1204.0	489.46399254694927	185.0	ng/ml	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	tmax	total captopril	plasma	HPLC	NA	NA	NA	1081.07	0.3439476704383968	0.13	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	thalf	total captopril	plasma	HPLC	NA	NA	NA	7.04	1.3493331686429413	0.51	hr	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	auc_inf	total captopril	plasma	HPLC	NA	NA	NA	4702.0	1711.8010982587903	647.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	oral clearance	total captopril	plasma	HPLC	NA	NA	NA	205.0	97.89279850938986	37.0	ml/min	NA
Giudicelli1987	NA	captopril_mono	7.0	CAP50_MULTI	vd	total captopril	plasma	HPLC	NA	NA	NA	1.92	1.190588089979066	0.45	l/kg	Vd/F
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	cmax	total captopril	plasma	HPLC	NA	NA	NA	891.0	523.2590180780452	185.0	ng/ml	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	tmax	total captopril	plasma	HPLC	NA	NA	NA	1.62	0.7919595949289333	0.28	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	thalf	total captopril	plasma	HPLC	NA	NA	NA	7.13	0.9899494936611666	0.35	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	auc_inf	total captopril	plasma	HPLC	NA	NA	NA	4448.0	2534.2707037725863	896.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	oral clearance	total captopril	plasma	HPLC	NA	NA	NA	242.0	115.9655121145938	41.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	vd	total captopril	plasma	HPLC	NA	NA	NA	2.23	1.1313708498984762	0.4	l/kg	Vd/F
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	cmax	total captopril	plasma	HPLC	NA	NA	NA	1009.0	576.9991334482228	204.0	ng/ml	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	tmax	total captopril	plasma	HPLC	NA	NA	NA	1.6	0.28284271247461906	0.1	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	thalf	total captopril	plasma	HPLC	NA	NA	NA	7.73	2.121320343559643	0.75	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	auc_inf	total captopril	plasma	HPLC	NA	NA	NA	4863.0	3261.1764748323576	1153.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	oral clearance	total captopril	plasma	HPLC	NA	NA	NA	231.0	98.99494936611666	35.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	vd	total captopril	plasma	HPLC	NA	NA	NA	2.26	0.9899494936611666	0.35	l/kg	Vd/F
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	138.0	50.59644256269407	16.0	ng/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	3.2	1.5811388300841898	0.5	hr	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	6.51	3.1622776601683795	1.0	hr	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	auc_inf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1384.0	1027.7402395547233	325.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	oral clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	440.0	259.3067681338071	82.0	ml/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25	vd	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	3.43	3.2255232133717473	1.02	l/kg	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	200.0	126.49110640673518	40.0	ng/ml	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.8	1.5811388300841898	0.5	hr	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	8.0	7.905694150420949	2.5	hr	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	auc_inf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2038.0	2551.9580717558824	807.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	oral clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	364.0	227.68399153212331	72.0	ml/min	NA
Giudicelli1987	NA	HCTZ_mono	10.0	HCTZ25_MULTI	vd	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.58	0.9486832980505138	0.3	l/kg	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	164.0	90.50966799187809	32.0	ng/ml	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	3.0	1.4142135623730951	0.5	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	7.1	1.1313708498984762	0.4	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	auc_inf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1629.0	1023.8906191581209	362.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	oral clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	346.0	183.84776310850236	65.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50, HCTZ25	vd	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.88	0.848528137423857	0.3	l/kg	Vd/F
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	cmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	210.0	110.30865786510142	39.0	ng/ml	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	tmax	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.5	0.5656854249492381	0.2	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	thalf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	7.5	2.630437226013957	0.93	hr	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	auc_inf	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	1760.0	1185.1109652686537	419.0	ng/ml*hr	not sure what auc
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	oral clearance	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	324.0	178.19090885901	63.0	ml/min	NA
Giudicelli1987	NA	captopril_HCTZ_comb	8.0	CAP50_MULTI, HCTZ25_MULTI	vd	hydrochlorothiazide	plasma	HPLC	NA	NA	NA	2.76	1.0182337649086284	0.36	l/kg	Vd/F
